country,cases,todayCases,deaths,todayDeaths,recovered,todayRecovered,active,critical,casesPerOneMillion,deathsPerOneMillion,tests,testsPerOneMillion,population,continent,oneCasePerPeople,oneDeathPerPeople,oneTestPerPeople,activePerOneMillion,recoveredPerOneMillion,criticalPerOneMillion
India,45035393,0,533570,0,0,0,44501823,0,32016,379,935879495,665334,1406631776,Asia,31,2636,2,31637.15,0.0,0.0
France,40138560,0,167642,0,39970918,0,0,0,612013,2556,271490188,4139547,65584518,Europe,2,391,0,0.0,609456.61,0.0
Germany,38828995,0,183027,0,38240600,0,405368,0,462891,2182,122332384,1458359,83883596,Europe,2,458,1,4832.51,455876.98,0.0
Brazil,38743918,0,711380,0,36249161,0,1783377,0,179908,3303,63776166,296146,215353593,South America,6,303,3,8281.16,168323.92,0.0
S. Korea,34571873,0,35934,0,34535939,0,0,0,673523,700,15804065,307892,51329899,Asia,1,1428,3,0.0,672823.05,0.0
Japan,33803572,0,74694,0,0,0,33728878,0,269169,595,100414883,799578,125584838,Asia,4,1681,1,268574.44,0.0,0.0
Italy,26723249,0,196487,0,26361218,0,165544,22,443445,3261,281126449,4665010,60262770,Europe,2,307,0,2747.04,437437.87,0.37
UK,24910387,0,232112,0,24678275,0,0,0,363666,3389,522526476,7628357,68497907,Europe,3,295,0,0.0,360277.8,0.0
Russia,24124215,0,402756,0,23545818,0,175641,0,165454,2762,273400000,1875095,145805947,Europe,6,362,1,1204.62,161487.36,0.0
Turkey,17232066,0,102174,0,0,0,17129892,0,201399,1194,162743369,1902052,85561976,Asia,5,837,1,200204.49,0.0,0.0
Spain,13914811,0,121760,0,13762417,0,30634,231,297840,2606,471036328,10082298,46719142,Europe,3,384,0,655.71,294577.69,4.94
Australia,11853144,0,24414,0,11820014,0,8716,3,454687,937,81916639,3142326,26068792,Australia-Oceania,2,1068,0,334.35,453416.25,0.12
Vietnam,11625195,0,43206,0,10640971,0,941018,0,117481,437,85826548,867342,98953541,Asia,9,2290,1,9509.7,107535.02,0.0
Taiwan,10241523,0,19005,0,10222518,0,0,0,428720,796,30742304,1286903,23888595,Asia,2,1257,1,0.0,427924.62,0.0
Argentina,10128845,0,130841,0,9997258,0,746,0,220143,2844,35716069,776264,46010234,South America,5,352,1,16.21,217283.35,0.0
Netherlands,8635786,0,22992,0,8612599,0,195,0,501747,1336,25984435,1509718,17211447,Europe,2,749,1,11.33,500399.47,0.0
Mexico,7702809,0,334958,0,6899865,0,467986,0,58549,2546,20013810,152124,131562772,North America,17,393,7,3557.13,52445.42,0.0
Iran,7627186,0,146811,0,0,0,7480375,0,88665,1707,57320267,666338,86022837,Asia,11,586,2,86958.01,0.0,0.0
Indonesia,6829221,0,162063,0,6647104,0,20054,0,24466,581,114158919,408975,279134505,Asia,41,1722,2,71.84,23813.27,0.0
